Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateNewAdmin,Chrome 69.0.3497.100,,2018-10-18 09:43:23,2018-10-18 09:44:11,48.256s,FAILED
,,,,,,
Test Cases/Common/LoginAsSuperAdmin,Chrome 69.0.3497.100,,2018-10-18 09:43:24,2018-10-18 09:43:36,12.109s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-18 09:43:25,2018-10-18 09:43:31,6.077s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-18 09:43:31,2018-10-18 09:43:34,2.844s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 09:43:34,2018-10-18 09:43:35,1.041s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 09:43:35,2018-10-18 09:43:35,0.472s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 09:43:35,2018-10-18 09:43:36,0.434s,PASSED
,,,,,,
Test Cases/CreateUser/CreateNewAdmin,Chrome 69.0.3497.100,,2018-10-18 09:43:36,2018-10-18 09:44:10,34.388s,FAILED
click,Chrome 69.0.3497.100,,2018-10-18 09:43:37,2018-10-18 09:43:41,4.186s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 09:43:41,2018-10-18 09:43:43,1.998s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 09:43:43,2018-10-18 09:43:45,2.479s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 09:43:45,2018-10-18 09:43:46,0.588s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 09:43:46,2018-10-18 09:43:46,0.475s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 09:43:46,2018-10-18 09:43:47,0.662s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 09:43:47,2018-10-18 09:43:48,0.740s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-18 09:43:48,2018-10-18 09:43:48,0.654s,PASSED
click,Chrome 69.0.3497.100,,2018-10-18 09:43:48,2018-10-18 09:44:10,21.844s,FAILED
