Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
createTour,Chrome 69.0.3497.100,,2018-10-30 12:03:45,2018-10-30 12:08:18,4m - 32.430s,PASSED
,,,,,,
Test Cases/Common/LoginAsSuperAdmin,Chrome 69.0.3497.100,,2018-10-30 12:03:46,2018-10-30 12:04:13,26.826s,PASSED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(adminDetails),Chrome 69.0.3497.100,,2018-10-30 12:03:47,2018-10-30 12:03:48,0.936s,PASSED
"Statement - userName = dbdata.getValue(5, 2)",Chrome 69.0.3497.100,,2018-10-30 12:03:48,2018-10-30 12:03:48,0.031s,PASSED
"Statement - password = dbdata.getValue(2, 2)",Chrome 69.0.3497.100,,2018-10-30 12:03:48,2018-10-30 12:03:48,0.006s,PASSED
phpTravels.commonUtils.loginToPHPTravels,Chrome 69.0.3497.100,,2018-10-30 12:03:48,2018-10-30 12:04:13,25.138s,PASSED
,,,,,,
Test Cases/CreateTour/CreateATour,Chrome 69.0.3497.100,,2018-10-30 12:04:13,2018-10-30 12:08:16,4m - 2.743s,PASSED
phpTravels.TourKeys.navigateToNewTour,Chrome 69.0.3497.100,,2018-10-30 12:04:14,2018-10-30 12:04:30,16.652s,PASSED
phpTravels.TourKeys.provideTourDetails,Chrome 69.0.3497.100,,2018-10-30 12:04:30,2018-10-30 12:06:25,1m - 54.906s,PASSED
phpTravels.TourKeys.provideTourInclusions,Chrome 69.0.3497.100,,2018-10-30 12:06:25,2018-10-30 12:07:48,1m - 23.241s,PASSED
phpTravels.TourKeys.provideTourExclusions,Chrome 69.0.3497.100,,2018-10-30 12:07:48,2018-10-30 12:08:09,20.472s,PASSED
phpTravels.TourKeys.SaveTour,Chrome 69.0.3497.100,,2018-10-30 12:08:09,2018-10-30 12:08:16,7.118s,PASSED
