Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
scenario1,Chrome 70.0.3538.77,,2018-11-01 16:17:19,2018-11-01 16:19:25,2m - 6.603s,FAILED
,,,,,,
Test Cases/Common/LoginAsSuperAdmin,Chrome 70.0.3538.77,,2018-11-01 16:17:19,2018-11-01 16:17:30,10.979s,PASSED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(adminDetails),Chrome 70.0.3538.77,,2018-11-01 16:17:20,2018-11-01 16:17:21,0.887s,PASSED
"Statement - userName = dbdata.getValue(5, 2)",Chrome 70.0.3538.77,,2018-11-01 16:17:21,2018-11-01 16:17:21,0.059s,PASSED
"Statement - password = dbdata.getValue(2, 2)",Chrome 70.0.3538.77,,2018-11-01 16:17:21,2018-11-01 16:17:21,0.034s,PASSED
phpTravels.commonUtils.loginToPHPTravels,Chrome 70.0.3538.77,,2018-11-01 16:17:21,2018-11-01 16:17:30,9.357s,PASSED
,,,,,,
Test Cases/CreateUser/CreateNewAdmin,Chrome 70.0.3538.77,,2018-11-01 16:17:30,2018-11-01 16:18:00,29.724s,PASSED
phpTravels.PhpKeys.navigateToCreateAdminPage,Chrome 70.0.3538.77,,2018-11-01 16:17:31,2018-11-01 16:17:40,9.308s,PASSED
phpTravels.PhpKeys.provideAdminDetails,Chrome 70.0.3538.77,,2018-11-01 16:17:40,2018-11-01 16:17:50,9.643s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForAdd,Chrome 70.0.3538.77,,2018-11-01 16:17:50,2018-11-01 16:17:52,1.781s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForEdit,Chrome 70.0.3538.77,,2018-11-01 16:17:52,2018-11-01 16:17:54,2.381s,PASSED
phpTravels.PhpKeys.provideAccessDetailsForRemove,Chrome 70.0.3538.77,,2018-11-01 16:17:54,2018-11-01 16:17:55,1.291s,PASSED
phpTravels.PhpKeys.saveAdmin,Chrome 70.0.3538.77,,2018-11-01 16:17:55,2018-11-01 16:17:59,3.244s,PASSED
phpTravels.commonUtils.logoutPHPTravels,Chrome 70.0.3538.77,,2018-11-01 16:17:59,2018-11-01 16:18:00,1.583s,PASSED
,,,,,,
Test Cases/Common/LoginAsNewAdmin,Chrome 70.0.3538.77,,2018-11-01 16:18:00,2018-11-01 16:18:09,8.899s,PASSED
Statement - dbdata = com.kms.katalon.core.testdata.TestDataFactory.findTestData(adminDetails),Chrome 70.0.3538.77,,2018-11-01 16:18:00,2018-11-01 16:18:01,0.076s,PASSED
"Statement - userName = dbdata.getValue(5, 1)",Chrome 70.0.3538.77,,2018-11-01 16:18:01,2018-11-01 16:18:01,0.001s,PASSED
"Statement - password = dbdata.getValue(2, 1)",Chrome 70.0.3538.77,,2018-11-01 16:18:01,2018-11-01 16:18:01,0.002s,PASSED
phpTravels.commonUtils.loginToPHPTravels,Chrome 70.0.3538.77,,2018-11-01 16:18:01,2018-11-01 16:18:09,8.497s,PASSED
,,,,,,
Test Cases/CreateTour/CreateATour,Chrome 70.0.3538.77,,2018-11-01 16:18:09,2018-11-01 16:18:45,36.250s,PASSED
phpTravels.TourKeys.navigateToNewTour,Chrome 70.0.3538.77,,2018-11-01 16:18:10,2018-11-01 16:18:19,9.684s,PASSED
phpTravels.TourKeys.provideTourDetails,Chrome 70.0.3538.77,,2018-11-01 16:18:19,2018-11-01 16:18:28,9.001s,PASSED
phpTravels.TourKeys.provideTourInclusions,Chrome 70.0.3538.77,,2018-11-01 16:18:28,2018-11-01 16:18:35,6.598s,PASSED
